yearmonth,MonthlyAveragesofInitialAmounts(Billions $),CumulativeTotal(Billions)
199401,5.3,5.3
199402,2.2,7.5
199403,0.0,7.5
199404,0.0,7.5
199405,0.0,7.5
199406,0.0,7.5
199407,0.0,7.5
199408,0.0,7.5
199409,1.5,8.9
199410,0.6,9.6
199411,0.3,9.8
199412,0.0,9.8
199501,0.0,9.9
199502,0.0,9.9
199503,0.0,9.9
199504,0.0,9.9
199505,5.0,14.9
199506,7.3,22.2
199507,0.6,22.7
199508,4.6,27.3
199509,5.9,33.2
199510,7.7,40.9
199511,4.3,45.2
199512,9.2,54.4
199601,14.0,68.4
199602,7.0,75.4
199603,6.4,81.8
199604,7.9,89.7
199605,8.3,98.1
199606,8.5,106.6
199607,7.9,114.6
199608,13.7,128.2
199609,10.9,139.1
199610,14.9,154.0
199611,9.0,163.0
199612,8.1,171.1
199701,5.8,177.0
199702,7.0,184.0
199703,11.0,194.9
199704,10.7,205.6
199705,8.7,214.4
199706,4.3,218.6
199707,3.9,222.5
199708,6.0,228.5
199709,12.3,240.9
199710,9.1,250.0
199711,3.9,253.9
199712,4.1,258.0
199801,5.8,263.8
199802,4.3,268.1
199803,4.3,272.4
199804,7.5,279.9
199805,3.8,283.7
199806,6.7,290.4
199807,8.1,298.5
199808,5.6,304.1
199809,5.3,309.3
199810,4.2,313.5
199811,2.4,315.9
199812,6.0,321.9
199901,3.2,325.1
199902,4.4,329.5
199903,2.6,332.1
199904,4.4,336.5
199905,8.5,345.0
199906,4.8,349.7
199907,6.3,356.1
199908,5.7,361.8
199909,1.3,363.1
199910,1.2,364.4
199911,2.0,366.4
199912,2.8,369.2
200001,1.0,370.3
200002,4.5,374.7
200003,3.5,378.2
200004,5.0,383.1
200005,3.3,386.4
200006,2.9,389.3
200007,4.3,393.6
200008,5.3,399.0
200009,4.6,403.6
200010,3.7,407.2
200011,2.7,409.9
200012,3.1,413.0
200101,2.9,415.9
200102,2.7,418.6
200103,3.4,422.0
200104,5.2,427.2
200105,1.7,428.9
200106,2.1,431.0
200107,5.5,436.6
200108,7.2,443.8
200109,2.4,446.2
200110,12.5,458.7
200111,2.7,461.4
200112,4.5,465.8
200201,5.7,471.5
200202,4.7,476.2
200203,5.8,482.1
200204,17.1,499.2
200205,5.5,504.6
200206,2.2,506.8
200207,2.6,509.4
200208,16.6,526.0
200209,3.6,529.6
200210,1.2,530.8
200211,2.0,532.8
200212,1.6,534.4
200301,1.2,535.6
200302,1.1,536.7
200303,1.3,538.1
200304,3.8,541.9
200305,1.1,543.0
200306,4.8,547.8
200307,8.4,556.2
200308,8.2,564.4
200309,8.7,573.1
200310,3.1,576.2
200311,8.7,584.9
200312,7.8,592.7
200401,0.7,593.4
200402,9.9,603.3
200403,15.2,618.5
200404,1.7,620.1
200405,14.5,634.7
200406,3.2,637.8
200407,1.7,639.5
200408,2.7,642.3
200409,4.4,646.7
200410,1.5,648.2
200411,2.1,650.2
200412,1.8,652.1
200501,1.8,653.8
200502,1.4,655.3
200503,8.2,663.5
200504,3.2,666.7
200505,4.6,671.3
200506,4.9,676.2
200507,4.9,681.1
200508,3.5,684.6
200509,3.1,687.7
200510,2.5,690.3
200511,3.2,693.5
200512,2.8,696.3
200601,2.9,699.3
200602,4.2,703.5
200603,2.8,706.3
200604,3.1,709.4
200605,2.5,711.9
200606,2.7,714.6
200607,5.8,720.4
200608,4.2,724.6
200609,3.9,728.4
200610,-1.3,727.1
200611,-1.3,725.8
200612,2.2,728.1
200701,3.1,731.2
200702,3.4,734.6
200703,2.3,736.9
200704,6.8,743.7
200705,1.5,745.2
200706,2.5,747.7
200707,4.1,751.7
200708,5.2,756.9
200709,2.7,759.6
200710,2.1,761.7
200711,1.5,763.2
200712,1.3,764.5
200801,0.9,765.4
200802,1.2,766.6
200803,1.4,768.0
200804,4.3,772.4
200805,1.4,773.7
200806,1.6,775.3
200807,2.6,777.9
200808,1.3,779.1
200809,0.6,779.7
200810,-5.2,774.5
200811,-25.3,749.2
200812,3.8,753.0
200901,25.2,778.2
200902,15.7,793.9
200903,0.4,794.4
200904,0.1,794.5
200905,0.0,794.4
200906,-2.8,791.6
200907,-0.7,790.9
200908,0.2,791.1
200909,4.3,795.4
200910,1.3,796.7
200911,0.1,796.8
200912,0.0,796.8
201001,0.1,796.9
201002,0.2,797.1
201003,0.4,797.5
201004,0.8,798.3
201005,0.9,799.3
201006,-0.2,799.1
201007,0.6,799.7
201008,1.4,801.0
201009,1.1,802.1
201010,0.5,802.6
201011,-0.6,802.1
201012,0.1,802.2
201101,0.0,802.2
201102,0.3,802.5
201103,0.5,803.0
201104,0.1,803.1
201105,-0.4,802.7
201106,-0.8,801.9
201107,0.2,802.1
201108,0.8,803.0
201109,0.0,803.0
201110,0.3,803.3
201111,0.4,803.7
201112,0.3,804.0
201201,0.1,804.1
201202,0.4,804.5
201203,0.2,804.7
